title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
The Breed,1/5/2007,,,First Look,,,Horror,0,,R,85,,winter,0,1978,0,0,1,0,0,0,0,1,0,0,0,0
A Breed Apart,3/7/1986,,,Orion Pictures,,,None,0,,R,95,,spring,0,1981,0,0,0,1,0,0,0,1,0,0,0,0
Breezy,11/18/1973,,Clint Eastwood,Universal,,,None,0,,R,107,,holiday,0,2010,0,0,0,0,1,0,0,1,0,0,0,0
Brenda Starr,4/17/1992,,,Triumph,67878,146100,None,0,,PG,93,48,spring,0,1985,0,0,0,1,0,0,0,0,1,0,0,0
Brewster's Millions,5/22/1985,,Walter Hill,Universal,40833132,102715500,Comedy,0,"Lawrence Gordon, Joel Silver",PG,102,1521,summer,0,1986,1,0,0,0,0,0,0,0,1,0,0,0
Brick,3/31/2006,,Rian Johnson,Focus Features,2075743,2830000,Drama,0,Ram Bergman,R,110,45,spring,104,1987,0,0,0,1,0,0,0,1,0,0,0,0
Brick Lane,6/20/2008,,,Sony Classics,1095398,1362400,Drama,0,,PG-13,101,49,summer,146,1997,1,0,0,0,0,0,1,0,0,0,0,0
Brick Mansions,4/25/2014,28000000,Camille Delamarre,Relativity,20396829,21869000,Act_Adven,0,"Matt Alvarez, Luc Besson, Ryan Kavanaugh, Tucker Tooley",PG-13,90,2647,spring,69,1991,0,0,0,1,0,0,1,0,0,0,0,0
The Bride,8/16/1985,,,Columbia,3558669,8951800,None,0,,PG-13,119,980,summer,0,1938,1,0,0,0,0,0,1,0,0,0,0,0
The Bride & The Grooms,4/24/2009,,,Sumbadhat Productions,5995,7500,Comedy,0,,,99,15,spring,6,2016,0,0,0,1,0,1,0,0,0,0,0,0
Bride and Prejudice,2/11/2005,7000000,,Miramax,6605592,9202500,Romance,0,,PG-13,111,288,winter,104,1984,0,0,1,0,0,0,1,0,0,0,0,0
The Bride Came C.O.D.,7/12/1941,,William Keighley,Warner Bros.,,,Romance,0,Hal B. Wallis,,92,,summer,0,2016,1,0,0,0,0,1,0,0,0,0,0,0
Bride of Chucky,10/16/1998,25000000,Ronny Yu,Universal,32383850,60978700,Horror,0,,R,89,2467,fall,0,2017,0,1,0,0,0,0,0,1,0,0,0,0
Bride of Frankenstein,4/22/1935,,James Whale,Universal,,,Horror,0,"Carl Laemmle, Jr.",,75,,spring,0,1998,0,0,0,1,0,1,0,0,0,0,0,0
Bride of Frankenstein,,,Bill Condon,Universal,,,Act_Adven,0,,,,,,0,1993,0,0,0,0,0,1,0,0,0,0,0,0
Bride of the Monster,2/5/1956,,,Unknown,,,None,0,,,69,,winter,0,2010,0,0,1,0,0,1,0,0,0,0,0,0
Bride of the Wind,6/8/2001,,Bruce Beresford,Paramount Classics,318823,503000,Historical,0,,R,99,42,summer,0,2004,1,0,0,0,0,0,0,1,0,0,0,0
Bride Wars,1/9/2009,30000000,Gary Winick,Fox,58715510,70285500,Comedy,0,"Arnon Milchan, Julie Yorn",PG,90,3228,winter,121,2001,0,0,1,0,0,0,0,0,1,0,0,0
Brideshead Revisited,7/25/2008,,,Miramax,6432256,8000000,Historical,0,,PG-13,133,501,summer,62,1995,1,0,0,0,0,0,1,0,0,0,0,0
Bridesmaids,5/13/2011,32500000,Paul Feig,Universal,169106725,187690600,Comedy,2,"Judd Apatow, Barry Mendel, Clayton Townsend",R,125,2958,summer,139,2003,1,0,0,0,0,0,0,1,0,0,0,0
The Bridge,10/27/2006,,,First Stripe Productions,179780,243000,Documentary,0,,R,93,19,fall,135,2011,0,1,0,0,0,0,0,1,0,0,0,0
The Bridge of San Luis Rey,6/10/2005,24000000,,Fine Line,49981,69600,Historical,0,Samuel Hadida,PG,120,6,summer,16,1971,1,0,0,0,0,0,0,0,1,0,0,0
Bridge of Spies,10/16/2015,40000000,Steven Spielberg,Buena Vista,72313754,74252300,Crime_Thriller,6,"Daniel Lupi, Marc Platt, Steven Spielberg",PG-13,140,2873,fall,146,1993,0,1,0,0,0,0,1,0,0,0,0,0
The Bridge on the River Kwai,12/18/1957,3000000,,Columbia,27200000,485792000,War,0,,PG,161,,holiday,0,1980,0,0,0,0,1,0,0,0,1,0,0,0
Bridge to Terabithia,2/16/2007,,,Buena Vista,82272442,106786800,Fantasy_Scifi,0,Alex Schwartz,PG,95,3210,winter,132,2015,0,0,1,0,0,0,0,0,1,0,0,0
The Bridges of Madison County,6/2/1995,24000000,Clint Eastwood,Warner Bros.,71516617,146814600,Romance,1,"Clint Eastwood, Kathleen Kennedy",PG-13,135,1986,summer,0,1956,1,0,0,0,0,0,1,0,0,0,0,0
Bridget Jones's Baby,9/16/2016,35000000,Sharon Maguire,Universal,24252420,25262100,Romance,0,,R,122,2930,fall,90,1996,0,1,0,0,0,0,0,1,0,0,0,0
Bridget Jones's Diary,4/13/2001,25000000,Sharon Maguire,Miramax,71543427,112876800,Romance,1,"Tim Bevan, Eric Fellner",R,97,2547,spring,0,1976,0,0,0,1,0,0,0,1,0,0,0,0
Bridget Jones: The Edge of Reason,11/12/2004,40000000,Beeban Kidron,Universal,40226215,57823900,Romance,0,"Tim Bevan, Eric Fellner",R,108,2473,holiday,69,2013,0,0,0,0,1,0,0,1,0,0,0,0
A Brief History of Time,8/21/1992,,Errol Morris,Triton,2279692,4905500,Documentary,0,,G,80,45,summer,0,1996,1,0,0,0,0,0,0,0,0,1,0,0
Brief Interviews with Hideous Men,9/25/2009,,John Krasinski,IFC,33745,39600,Comedy,0,,,72,2,fall,20,2009,0,1,0,0,0,1,0,0,0,0,0,0
Brief Reunion,1/18/2013,,,Striped Entertainment,6601,7300,Crime_Thriller,0,,,88,2,winter,27,1995,0,0,1,0,0,1,0,0,0,0,0,0
Brigham City,4/6/2001,,,Excel,852206,1344600,Drama,0,,PG-13,120,55,spring,0,2006,0,0,0,1,0,0,1,0,0,0,0,0
Bright Angel,6/14/1991,,,Hemdale,158243,335700,None,0,,R,94,7,summer,0,2011,1,0,0,0,0,0,0,1,0,0,0,0
Bright Leaves,8/25/2004,,,First Run,77888,111300,Documentary,0,,,105,4,summer,284,2010,1,0,0,0,0,1,0,0,0,0,0,0
"Bright Lights, Big City",4/1/1988,,,United Artists,16118077,35020500,Drama,0,"Gerald R. Molen, Sydney Pollack",R,110,1199,spring,0,2015,0,0,0,1,0,0,0,1,0,0,0,0
