title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
12 Strong,1/19/2018,,,Warner Bros.,,,War Drama,0,0,,R,,,R,War,,2018,0,0,0,1,0,0,1,0,0,0,0
12 Years a Slave,10/18/2013,20000000,[],Fox Searchlight,56671993,61595600,Drama,9,3,"['Dede Gardner', 'Jeremy Kleiner', 'Arnon Milchan', 'Brad Pitt', 'John Ridley']",R,133,1474,R,Drama,202,2013,0,1,0,0,0,0,1,0,0,0,0
12/12/2012,11/15/2013,,,Weinstein Company,,,Concert,0,0,,R,105,,R,Other,,2013,0,0,1,0,0,0,1,0,0,0,0
127 Hours,11/5/2010,18000000,['Danny Boyle'],Fox Searchlight,18335230,20441100,Drama,6,0,['Danny Boyle'],R,93,916,R,Drama,160,2010,0,0,1,0,0,0,1,0,0,0,0
13 Assassins,4/29/2011,,,Magnolia,802778,890700,Foreign,0,0,,R,126,31,R,Foreign,118,2011,0,0,0,0,1,0,1,0,0,0,0
13 Conversations About One Thing,5/24/2002,,,Sony Classics,3288164,5053900,Drama,0,0,,R,94,68,R,Drama,195,2002,1,0,0,0,0,0,1,0,0,0,0
13 Going on 30,4/23/2004,37000000,['Gary Winick'],Sony (Revolution),57231747,82299400,Fantasy Comedy,0,0,['Todd Garner'],PG-13,97,3453,PG-13,Fantasy_Scifi,118,2004,0,0,0,0,1,1,0,0,0,0,0
13 Hours: The Secret Soldiers of Benghazi,1/15/2016,50000000,['Michael Bay'],Paramount,52853219,55009200,Drama,1,0,,R,144,2917,R,Drama,69,2016,0,0,0,1,0,0,1,0,0,0,0
13 Minutes,6/30/2017,,,Sony Classics,161531,161500,Drama,0,0,,R,114,19,R,Drama,104,2017,1,0,0,0,0,0,1,0,0,0,0
13 Sins,4/18/2014,,,Radius-TWC,13809,14800,Thriller,0,0,,R,92,45,R,Crime_Thriller,6,2014,0,0,0,0,1,0,1,0,0,0,0
