title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
The A-Team,6/11/2010,110000000,['Joe Carnahan'],Fox,77222099,86741300,Action,0,0,"['Ridley Scott', 'Tony Scott', 'Alex Young']",PG-13,117,3544,PG-13,Act_Adven,97,2010,1,0,0,0,0,1,0,0,0,0,0
A.C.O.D.,10/4/2013,,,The Film Arcade,175705,187900,Comedy,0,0,['Teddy Schwarzman'],PG-13,88,42,PG-13,Comedy,34,2013,0,1,0,0,0,1,0,0,0,0,0
A.I. Artificial Intelligence,6/29/2001,100000000,['Steven Spielberg'],Warner Bros.,78616689,124036600,Sci-Fi,2,0,"['Kathleen Kennedy', 'Steven Spielberg']",PG-13,145,3242,PG-13,Fantasy_Scifi,,2001,1,0,0,0,0,1,0,0,0,0,0
Abandon,10/18/2002,25000000,['Stephen Gaghan'],Paramount,10727683,16488500,Thriller,0,0,"['Gary Barber', 'Roger Birnbaum', 'Lynda Obst', 'Richard Vane', 'Edward Zwick']",PG-13,99,2347,PG-13,Crime_Thriller,62,2002,0,1,0,0,0,1,0,0,0,0,0
The Abandoned,2/23/2007,,,After Dark Films,1331137,1727800,Horror,0,0,,R,106,1000,R,Horror,13,2007,0,0,0,1,0,0,1,0,0,0,0
Abduction,9/23/2011,35000000,['John Singleton'],Lionsgate,28087155,31589200,Action,0,0,"['Patrick Crowley', 'Doug Davison', 'Roy Lee']",PG-13,106,3118,PG-13,Act_Adven,83,2011,0,1,0,0,0,1,0,0,0,0,0
Abominable,4/14/2006,,,Freestyle Releasing,1810,2500,Horror,0,0,,R,94,1,R,Horror,2,2006,0,0,0,0,1,0,1,0,0,0,0
About a Boy,5/17/2002,30000000,"['Chris Weitz', 'Paul Weitz']",Universal,41385278,63609400,Comedy / Drama,1,0,"['Tim Bevan', 'Eric Fellner', 'Nick Hornby']",PG-13,100,1756,PG-13,Comedy,62,2002,1,0,0,0,0,1,0,0,0,0,0
About Adam,5/11/2001,,,Miramax,159668,251900,Romantic Comedy,0,0,,R,97,11,R,Romance,20,2001,1,0,0,0,0,0,1,0,0,0,0
About Alex,8/8/2014,,,Screen Media,,,Comedy,0,0,,R,96,,R,Comedy,,2014,1,0,0,0,0,0,1,0,0,0,0
About Cherry,9/21/2012,,,IFC,3003,3400,Drama,0,0,,R,102,3,R,Drama,6,2012,0,1,0,0,0,0,1,0,0,0,0
About Last Night,2/14/2014,12500000,['Steve Pink'],Sony / Screen Gems,48637684,54550100,Romantic Comedy,0,0,"['Will Gluck', 'Will Packer']",R,100,2253,R,Romance,72,2014,0,0,0,1,0,0,1,0,0,0,0
About Last Night...,7/4/1986,,['Edward Zwick'],TriStar,38702310,93156800,Romantic Comedy,0,0,,R,113,887,R,Romance,,1986,1,0,0,0,0,0,1,0,0,0,0
About Schmidt,12/13/2002,30000000,['Alexander Payne'],New Line,65016287,96381400,Comedy / Drama,2,0,['Bill Badalato'],R,124,1240,R,Comedy,167,2002,0,0,1,0,0,0,1,0,0,0,0
About Time,11/1/2013,,['Richard Curtis'],Universal,15322921,16387300,Comedy,0,0,"['Tim Bevan', 'Eric Fellner']",R,123,1280,R,Comedy,55,2013,0,0,1,0,0,0,1,0,0,0,0
Above the Law,4/8/1988,,['Andrew Davis'],Warner Bros.,18869631,40999000,Action,0,0,,R,99,868,R,Act_Adven,,1988,0,0,0,0,1,0,1,0,0,0,0
Above the Rim,3/25/1994,,,New Line,16192320,34592700,Sports Drama,0,0,,R,98,891,R,Sports,,1994,0,0,0,0,1,0,1,0,0,0,0
Abracadabra,9/15/2017,,,Sony / Columbia,3470,3500,Comedy / Drama,0,0,,R,96,10,R,Comedy,6,2017,0,1,0,0,0,0,1,0,0,0,0
Abraham Lincoln: Vampire Hunter,6/22/2012,69000000,['Timur Bekmambetov'],Fox,37519139,41958000,Horror Thriller,0,0,"['Timur Bekmambetov', 'Tim Burton', 'Seth Grahame-Smith', 'Simon Kinberg']",R,105,3109,R,Horror,90,2012,1,0,0,0,0,0,1,0,0,0,0
Absence of Malice,11/20/1981,,['Sydney Pollack'],Columbia,40716963,124355600,Drama / Thriller,3,0,['Sydney Pollack'],PG,116,994,PG,Drama,,1981,0,0,1,0,0,0,0,1,0,0,0
Absolute Beginners,4/18/1986,,,Orion Pictures,930211,2239000,Musical,0,0,,PG-13,108,4,PG-13,Musical,,1986,0,0,0,0,1,1,0,0,0,0,0
Absolute Power,2/14/1997,,['Clint Eastwood'],Sony / Columbia,50068310,97409600,Crime Thriller,0,0,['Clint Eastwood'],R,121,2568,R,Crime_Thriller,,1997,0,0,0,1,0,0,1,0,0,0,0
Absolutely Anything,5/12/2017,,,Atlas Distribution,,,Sci-Fi Comedy,0,0,,R,85,,R,Fantasy_Scifi,,2017,1,0,0,0,0,0,1,0,0,0,0
Absolutely Fabulous: The Movie,7/22/2016,,['Mandie Fletcher'],Fox Searchlight,4772155,5007700,Comedy,0,0,,R,90,355,R,Comedy,69,2016,1,0,0,0,0,0,1,0,0,0,0
The Abyss,8/11/1989,,['James Cameron'],Fox,54461047,121966100,Sci-Fi Adventure,3,1,['Gale Anne Hurd'],PG-13,146,1538,PG-13,Fantasy_Scifi,,1989,1,0,0,0,0,1,0,0,0,0,0
The Abyss Special Edition,2/26/1993,,,Fox,54461047,515000,Sci-Fi Adventure,0,0,,R,171,2,R,Fantasy_Scifi,,1993,0,0,0,1,0,0,1,0,0,0,0
Accepted,8/18/2006,23000000,['Steve Pink'],Universal,36323505,49522000,Comedy,0,0,"['Michael Bostick', 'Tom Shadyac']",PG-13,90,2917,PG-13,Comedy,62,2006,1,0,0,0,0,1,0,0,0,0,0
The Accidental Husband  - Box Office Mojo,,,['Griffin Dunne'],Yari Film Group,,,Romantic Comedy,0,0,['Jason Blum'],PG-13,90,,PG-13,Romance,,,0,0,0,0,0,1,0,0,0,0,0
The Accidental Tourist,12/23/1988,,['Lawrence Kasdan'],Warner Bros.,32632093,73388600,Romance,4,1,"['Michael Grillo', 'Lawrence Kasdan']",PG,121,954,PG,Romance,104,1988,0,0,1,0,0,0,0,1,0,0,0
The Accompanist,12/23/1993,,,Sony Classics,769983,1660900,Foreign,0,0,,PG,110,,PG,Foreign,,1993,0,0,1,0,0,0,0,1,0,0,0
The Accountant,10/14/2016,44000000,"[""Gavin O'Connor""]",Warner Bros.,86260045,87630900,Drama,0,0,,R,128,3402,R,Drama,90,2016,0,1,0,0,0,0,1,0,0,0,0
The Accused,10/14/1988,,['Jonathan Kaplan'],Paramount,32078318,69698100,Drama,1,1,['Sherry Lansing'],R,119,930,R,Drama,,1988,0,1,0,0,0,0,1,0,0,0,0
Ace Ventura: Pet Detective,2/4/1994,15000000,['Tom Shadyac'],Warner Bros.,72217396,154282600,Comedy,0,0,"['Gary Barber', 'James G. Robinson']",PG-13,87,1963,PG-13,Comedy,,1994,0,0,0,1,0,1,0,0,0,0,0
Ace Ventura: When Nature Calls,11/10/1995,,['Steve Oedekerk'],Warner Bros.,108385533,222343500,Comedy,0,0,"['Gary Barber', 'James G. Robinson']",PG-13,94,2705,PG-13,Comedy,,1995,0,0,1,0,0,1,0,0,0,0,0
Aces: Iron Eagle III,6/12/1992,,,New Line,2517600,5417400,Action,0,0,,R,98,1051,R,Act_Adven,,1992,1,0,0,0,0,0,1,0,0,0,0
Across the Sea of Time,10/20/1995,,,Sony Classics,16015639,23041400,IMAX,0,0,,G,51,2,G,Other,3142,1995,0,1,0,0,0,0,0,0,1,0,0
Across the Universe,9/14/2007,,['Julie Taymor'],Sony (Revolution),24343673,31597200,Musical,1,0,,PG-13,131,964,PG-13,Musical,86,2007,0,1,0,0,0,1,0,0,0,0,0
Act of Valor,2/24/2012,12000000,"['Mike McCoy', 'Scott Waugh']",Relativity,70012847,78850500,Thriller,0,0,"['Jason Clark', 'Ryan Kavanaugh', 'Mike McCoy', 'Tucker Tooley', 'Scott Waugh']",R,111,3053,R,Crime_Thriller,104,2012,0,0,0,1,0,0,1,0,0,0,0
Action Jackson,2/12/1988,,['Craig R. Baxley'],Lorimar,20256975,44013300,Action,0,0,['Joel Silver'],R,95,1249,R,Act_Adven,,1988,0,0,0,1,0,0,1,0,0,0,0
Adam,7/29/2009,,,Fox Searchlight,2277396,2723200,Comedy / Drama,0,0,,PG-13,95,177,PG-13,Comedy,109,2009,1,0,0,0,0,1,0,0,0,0,0
Adam & Steve,3/31/2006,,,TLA Releasing,309404,421800,Romantic Comedy,0,0,,R,99,17,R,Romance,111,2006,0,0,0,0,1,0,1,0,0,0,0
Adam's Apples,3/16/2007,,,Outsider Pictures,1305,1700,Foreign,0,0,,R,94,1,R,Foreign,2,2007,0,0,0,0,1,0,1,0,0,0,0
Adaptation.,12/6/2002,19000000,['Spike Jonze'],Sony / Columbia,22498520,33489200,Comedy,4,1,,R,114,672,R,Comedy,167,2002,0,0,1,0,0,0,1,0,0,0,0
The Addams Family,11/22/1991,30000000,['Barry Sonnenfeld'],Paramount,113502426,241702800,Horror Comedy,2,0,['Scott Rudin'],PG-13,102,2411,PG-13,Horror,,1991,0,0,1,0,0,1,0,0,0,0,0
Addams Family Values,11/19/1993,,['Barry Sonnenfeld'],Paramount,48919043,105417800,Horror Comedy,0,0,['Scott Rudin'],PG-13,94,2577,PG-13,Horror,,1993,0,0,1,0,0,1,0,0,0,0,0
Adderall Diaries,4/15/2016,,['Pamela Romanowsky'],A24,13191,13500,Drama / Thriller,0,0,,R,105,31,R,Drama,,2016,0,0,0,0,1,0,1,0,0,0,0
Addicted,10/10/2014,,['Bille Woodruff'],Lionsgate,17390770,18710800,Drama,0,0,['Paul Hall'],R,105,1037,R,Drama,55,2014,0,1,0,0,0,0,1,0,0,0,0
Addicted to Love,5/23/1997,,['Griffin Dunne'],Warner Bros.,34673095,67457700,Romantic Comedy,0,0,['Jeffrey Silver'],R,99,2021,R,Romance,,1997,1,0,0,0,0,0,1,0,0,0,0
Addiction Incorporated,12/14/2011,,,Variance Films,40106,45300,Documentary,0,0,,PG,100,5,PG,Documentary,113,2011,0,0,1,0,0,0,0,1,0,0,0
The Adjuster,5/29/1992,,,Orion Classics,396573,853400,Unknown,0,0,,R,102,18,R,None,104,1992,1,0,0,0,0,0,1,0,0,0,0
The Adjustment Bureau,3/4/2011,50200000,['George Nolfi'],Universal,62495645,71003300,Sci-Fi Thriller,0,0,"['Chris Moore', 'George Nolfi']",PG-13,99,2847,PG-13,Fantasy_Scifi,83,2011,0,0,0,0,1,1,0,0,0,0,0
Admission,3/22/2013,13000000,['Paul Weitz'],Focus Features,18007317,20252600,Comedy / Drama,0,0,['Paul Weitz'],PG-13,117,2161,PG-13,Comedy,76,2013,0,0,0,0,1,1,0,0,0,0,0
Adoration,5/8/2009,,['Atom Egoyan'],Sony Classics,294244,352100,Drama,0,0,,R,100,20,R,Drama,160,2009,1,0,0,0,0,0,1,0,0,0,0
Adore,9/6/2013,,,Exclusive Media,318982,362900,Drama,0,0,,R,100,57,R,Drama,27,2013,0,1,0,0,0,0,1,0,0,0,0
Adrift in Manhattan,9/21/2007,,,Screen Media,2099,2700,Drama,0,0,,R,91,1,R,Drama,2,2007,0,1,0,0,0,0,1,0,0,0,0
Adult Beginners,4/24/2015,,,Radius-TWC,108808,113100,Comedy / Drama,0,0,,R,90,54,R,Comedy,41,2015,0,0,0,0,1,0,1,0,0,0,0
Adult World,2/14/2014,,,IFC,25368,28500,Comedy,0,0,['Justin Nappi'],R,93,11,R,Comedy,27,2014,0,0,0,1,0,0,1,0,0,0,0
Adventureland,4/3/2009,,['Greg Mottola'],Miramax,16044025,19205500,Comedy,0,0,"['Ted Hope', 'Sidney Kimmel']",R,106,1876,R,Comedy,55,2009,0,0,0,0,1,0,1,0,0,0,0
The Adventurer: The Curse of the Midas Box,1/10/2014,,,The Film Arcade,6399,7200,Family Adventure,0,0,,PG,98,82,PG,Family,6,2014,0,0,0,1,0,0,0,1,0,0,0
Adventures in Babysitting,7/3/1987,,['Chris Columbus'],Buena Vista,34368475,78493700,Comedy,0,0,['Lynda Obst'],PG-13,99,1148,PG-13,Comedy,,1987,1,0,0,0,0,1,0,0,0,0,0
Adventures of American Rabbit,1/17/1986,,,Atlantic,1268443,3053200,Unknown,0,0,,G,82,242,G,None,,1986,0,0,0,1,0,0,0,0,1,0,0
The Adventures of Baron Munchausen,3/10/1989,46630000,['Terry Gilliam'],Columbia,8083123,18181900,Unknown,4,0,,PG,125,120,PG,None,,1989,0,0,0,0,1,0,0,1,0,0,0
The Adventures of Buckaroo Banzai,8/10/1984,,,Fox,6254148,16621900,Unknown,0,0,,PG,103,236,PG,None,,1984,1,0,0,0,0,0,0,1,0,0,0
The Adventures of Elmo in Grouchland,10/1/1999,26000000,,Sony / Columbia,11683047,20537300,Family,0,0,['Stephanie Allain'],G,77,1210,G,Family,,1999,0,1,0,0,0,0,0,0,1,0,0
The Adventures of Ford Fairlane,7/13/1990,,['Renny Harlin'],Fox,21413502,45206300,Action Comedy,0,0,['Joel Silver'],R,104,1263,R,Act_Adven,,1990,1,0,0,0,0,0,1,0,0,0,0
The Adventures of Huck Finn,4/2/1993,,['Stephen Sommers'],Buena Vista,24103594,51991600,Family Adventure,0,0,['Laurence Mark'],PG,108,1803,PG,Family,,1993,0,0,0,0,1,0,0,1,0,0,0
The Adventures of Mark Twain,1/17/1986,,,Atlantic,849915,2045700,Animation,0,0,,G,86,221,G,Animation,,1986,0,0,0,1,0,0,0,0,1,0,0
The Adventures of Milo and Otis,8/25/1989,,,Columbia,13299749,6631600,Unknown,0,0,,G,76,239,G,None,,1989,1,0,0,0,0,0,0,0,1,0,0
Adventures of Milo and Otis,6/15/1990,,,Columbia,13299749,21853200,Family Adventure,0,0,,G,75,915,G,Family,,1990,1,0,0,0,0,0,0,0,1,0,0
The Adventures of Pinocchio,7/26/1996,,['Steven Barron'],New Line,15094530,30496400,Family Adventure,0,0,['Samuel Hadida'],G,94,1879,G,Family,,1996,1,0,0,0,0,0,0,0,1,0,0
The Adventures of Pluto Nash,8/16/2002,100000000,['Ron Underwood'],Warner Bros.,4420080,6793700,Sci-Fi Comedy,0,0,,PG-13,95,2320,PG-13,Fantasy_Scifi,48,2002,1,0,0,0,0,1,0,0,0,0,0
Adventures of Power,10/9/2009,,,Variance Films,17419,20400,Comedy,0,0,,PG-13,89,3,PG-13,Comedy,55,2009,0,1,0,0,0,1,0,0,0,0,0
"The Adventures of Priscilla, Queen of the Desert",8/10/1994,,['Stephan Elliot'],Gramercy,11220670,23971400,Comedy,1,1,,R,102,192,R,Comedy,,1994,1,0,0,0,0,0,1,0,0,0,0
The Adventures of Rocky & Bullwinkle,6/30/2000,76000000,,Universal,26005820,43085700,Family Comedy,0,0,['Tiffany Ward'],PG,92,2482,PG,Family,97,2000,1,0,0,0,0,0,0,1,0,0,0
The Adventures of Sebastian Cole,8/6/1999,,['Tod Williams'],Paramount Classics,100841,177300,Comedy / Drama,0,0,,R,99,7,R,Comedy,76,1999,1,0,0,0,0,0,1,0,0,0,0
The Adventures of Sharkboy and Lavagirl in 3D,6/10/2005,,['Robert Rodriguez'],Dimension Films,39177684,54579800,Family Adventure,0,0,,PG,94,2655,PG,Family,132,2005,1,0,0,0,0,0,0,1,0,0,0
The Adventures of Tintin,12/21/2011,,['Steven Spielberg'],Paramount,77591831,87953800,Animation,1,0,"['Peter Jackson', 'Kathleen Kennedy', 'Steven Spielberg']",PG,101,3087,PG,Animation,92,2011,0,0,1,0,0,0,0,1,0,0,0
The Advocate,8/24/1994,,,Miramax,602329,1286800,Period Drama,0,0,,R,102,17,R,Historical,78,1994,1,0,0,0,0,0,1,0,0,0,0
Aeon Flux,12/2/2005,62000000,['Karyn Kusama'],Paramount,25874337,36011700,Sci-Fi Action,0,0,"['Gale Anne Hurd', 'Gary Lucchesi', 'Tom Rosenberg']",PG-13,95,2608,PG-13,Fantasy_Scifi,69,2005,0,0,1,0,0,1,0,0,0,0,0
An Affair of Love,8/11/2000,,,Fine Line,359050,594900,Unknown,0,0,,R,,19,R,None,48,2000,1,0,0,0,0,0,1,0,0,0,0
The Affair of the Necklace,11/30/2001,,['Charles Shyer'],Warner Bros.,471210,743400,Unknown,1,0,"['Broderick Johnson', 'Andrew A. Kosove', 'Charles Shyer']",R,118,40,R,None,,2001,0,0,1,0,0,0,1,0,0,0,0
Afflicted,4/4/2014,,,CBS Films,121179,129900,Horror,0,0,,R,85,44,R,Horror,9,2014,0,0,0,0,1,0,1,0,0,0,0
Affliction,12/30/1998,6000000,['Paul Schrader'],Lions Gate,6330054,11131200,Drama,2,1,,R,115,335,R,Drama,,1998,0,0,1,0,0,0,1,0,0,0,0
Afraid of the Dark,7/24/1992,,,Fine Line,53932,116100,Thriller,0,0,,R,92,,R,Crime_Thriller,34,1992,1,0,0,0,0,0,1,0,0,0,0
African Cats,4/22/2011,,,Buena Vista,15428747,17094100,Documentary,0,0,['Don Hahn'],G,89,1224,G,Documentary,83,2011,0,0,0,0,1,0,0,0,1,0,0
After,9/9/2011,,,Unknown,24544,27600,Drama,0,0,,R,99,1,R,Drama,13,2011,0,1,0,0,0,0,1,0,0,0,0
After Dark's Horror Fest: 8 Films to Die For,11/17/2006,,,Freestyle Releasing,2575000,3510700,Horror,0,0,,R,94,488,R,Horror,,2006,0,0,1,0,0,0,1,0,0,0,0
After Dark's Horrorfest 2,11/9/2007,,,After Dark Films,874635,1135200,Horror,0,0,,R,90,323,R,Horror,9,2007,0,0,1,0,0,0,1,0,0,0,0
"After Dark, My Sweet",8/24/1990,,['James Foley'],Avenue Pict.,2678414,5654400,Romantic Thriller,0,0,,R,114,153,R,Romance,76,1990,1,0,0,0,0,0,1,0,0,0,0
After Earth,5/31/2013,130000000,['M. Night Shyamalan'],Sony / Columbia,60522097,64494300,Sci-Fi,0,0,"['Jada Pinkett-Smith', 'M. Night Shyamalan', 'Will Smith']",PG-13,100,3401,PG-13,Fantasy_Scifi,79,2013,1,0,0,0,0,1,0,0,0,0,0
After Hours,9/13/1985,,['Martin Scorsese'],Warner Bros.,10609321,26687700,Unknown,0,0,,R,96,503,R,None,,1985,0,1,0,0,0,0,1,0,0,0,0
After Midnight,11/3/1989,,,MGM,76325,171700,Unknown,0,0,,R,93,224,R,None,6,1989,0,0,1,0,0,0,1,0,0,0,0
After School,9/23/1988,,,Moviestore Ent.,3967,8600,Unknown,0,0,,R,89,,R,None,6,1988,0,1,0,0,0,0,1,0,0,0,0
After the Life: Trilogy 3,2/13/2004,,,Magnolia,27256,39200,Foreign,0,0,,R,124,3,R,Foreign,132,2004,0,0,0,1,0,0,1,0,0,0,0
After the Sunset,11/12/2004,60000000,['Brett Ratner'],New Line,28331233,40727800,Romantic Thriller,0,0,"['Beau Flynn', 'Jay Stern', 'Tripp Vinson']",PG-13,98,2819,PG-13,Romance,83,2004,0,0,1,0,0,1,0,0,0,0,0
After the Wedding,3/30/2007,,,IFC,1534584,1991800,Foreign,1,0,,R,120,55,R,Foreign,104,2007,0,0,0,0,1,0,1,0,0,0,0
After Tiller,9/20/2013,,,Oscilloscope Pictures,72125,78400,Documentary,0,0,,PG-13,85,6,PG-13,Documentary,55,2013,0,1,0,0,0,1,0,0,0,0,0
After.Life,4/9/2010,,,Anchor Bay Films,108595,122000,Horror Thriller,0,0,,R,97,41,R,Horror,27,2010,0,0,0,0,1,0,1,0,0,0,0
Afterglow,12/26/1997,,,Sony Classics,2465960,4695300,Romance,1,0,,R,113,353,R,Romance,146,1997,0,0,1,0,0,0,1,0,0,0,0
Afternoon Delight,8/30/2013,,,The Film Arcade,174496,198700,Comedy / Drama,0,0,,R,95,39,R,Comedy,23,2013,1,0,0,0,0,0,1,0,0,0,0
Aftershock,5/10/2013,,,Radius-TWC,58510,62300,Horror,0,0,,R,91,110,R,Horror,6,2013,1,0,0,0,0,0,1,0,0,0,0
Against All Odds,3/2/1984,,['Taylor Hackford'],Columbia,21689062,57643800,Romance,1,0,['Taylor Hackford'],R,122,979,R,Romance,,1984,0,0,0,0,1,0,1,0,0,0,0
Against the Ropes,2/20/2004,,,Paramount,5884190,8461500,Sports Drama,0,0,,PG-13,115,1601,PG-13,Sports,48,2004,0,0,0,1,0,1,0,0,0,0,0
Against the Sun,1/23/2015,,,The American Film Company,4646,5100,Adventure,0,0,,PG,100,11,PG,Act_Adven,6,2015,0,0,0,1,0,0,0,1,0,0,0
Agatha,2/9/1979,,['Michael Apted'],Warner Bros.,7500000,26683300,Unknown,1,0,,PG,105,,PG,None,,1979,0,0,0,1,0,0,0,1,0,0,0
The Age of Adaline,4/24/2015,,['Lee Toland Krieger'],Lionsgate,42629776,44293500,Drama,0,0,"['Sidney Kimmel', 'Gary Lucchesi', 'Tom Rosenberg']",PG-13,112,3070,PG-13,Drama,76,2015,0,0,0,0,1,1,0,0,0,0,0
The Age of Innocence,9/17/1993,34000000,['Martin Scorsese'],Columbia,32255440,69575100,Period Drama,5,1,['Barbara De Fina'],PG,138,839,PG,Historical,,1993,0,1,0,0,0,0,0,1,0,0,0
Agent Cody Banks,3/14/2003,28000000,['Harald Zwart'],MGM,47938330,70993300,Family Adventure,0,0,"['Dylan Sellers', 'Bob Yari']",PG,110,3369,PG,Family,139,2003,0,0,0,0,1,0,0,1,0,0,0
Agent Cody Banks 2: Destination London,3/12/2004,26000000,,MGM,23630159,33980200,Family Adventure,0,0,"['Dylan Sellers', 'Bob Yari']",PG,101,2973,PG,Family,69,2004,0,0,0,0,1,0,0,1,0,0,0
Agnes Browne,12/3/1999,,,USA Films,148853,247700,Unknown,0,0,,R,92,21,R,None,111,1999,0,0,1,0,0,0,1,0,0,0,0
Agnes of God,9/13/1985,,['Norman Jewison'],Columbia,25627836,64466600,Drama / Thriller,3,0,,PG-13,100,646,PG-13,Drama,,1985,0,1,0,0,0,1,0,0,0,0,0
Agora,5/28/2010,70000000,['Alejandro Amenabar'],Newmarket,619423,695800,Historical Drama,0,0,,R,127,17,R,Historical,146,2010,1,0,0,0,0,0,1,0,0,0,0
The Agronomist,4/23/2004,,['Jonathan Demme'],ThinkFilm,226189,325300,Documentary,0,0,,PG-13,91,21,PG-13,Documentary,65,2004,0,0,0,0,1,1,0,0,0,0,0
Ai Weiwei: Never Sorry,7/27/2012,,,IFC,534100,613000,Documentary,0,0,,R,90,37,R,Documentary,62,2012,1,0,0,0,0,0,1,0,0,0,0
Aileen: The Life and Death of a Serial Killer,1/9/2004,,,Lantern Lane,97362,140000,Documentary,0,0,,R,89,6,R,Documentary,48,2004,0,0,0,1,0,0,1,0,0,0,0
Ain't Them Bodies Saints,8/16/2013,,,IFC,396519,450600,Western,0,0,,R,90,44,R,Western,48,2013,1,0,0,0,0,0,1,0,0,0,0
Air America,8/10/1990,,['Roger Spottiswoode'],TriStar,31053601,65557600,Action Comedy,0,0,,R,113,1902,R,Act_Adven,,1990,1,0,0,0,0,0,1,0,0,0,0
Air Bud,8/1/1997,,,Buena Vista,23144499,45028400,Family,0,0,,PG,98,1795,PG,Family,,1997,1,0,0,0,0,0,0,1,0,0,0
Air Bud: Golden Receiver,8/14/1998,,,Miramax,10224116,19467200,Family,0,0,,G,90,1669,G,Family,,1998,1,0,0,0,0,0,0,0,1,0,0
Air Force One,7/25/1997,85000000,['Wolfgang Petersen'],Sony / Columbia,172956409,336417000,Action Thriller,2,0,['Marc Abraham'],R,124,2981,R,Act_Adven,,1997,1,0,0,0,0,0,1,0,0,0,0
Air Guitar Nation,3/23/2007,,,Shadow Dist.,71471,92800,Documentary,0,0,,R,81,10,R,Documentary,139,2007,0,0,0,0,1,0,1,0,0,0,0
The Air I Breathe,1/25/2008,,,ThinkFilm,25775,32100,Drama,0,0,,R,97,7,R,Drama,6,2008,0,0,0,1,0,0,1,0,0,0,0
The Air Up There,1/7/1994,,['Paul Michael Glaser'],Miramax,21011318,44887800,Sports Comedy,0,0,"['Ted Field', 'Scott Kroopf']",PG,107,1721,PG,Sports,,1994,0,0,0,1,0,0,0,1,0,0,0
Airborne,9/17/1993,,['Rob Bowman'],Warner Bros.,2850263,6148000,Comedy,0,0,,PG,129,982,PG,Comedy,,1993,0,1,0,0,0,0,0,1,0,0,0
Airheads,8/5/1994,,['Michael Lehman'],Fox,5751882,12288100,Comedy,0,0,['Robert Simonds'],PG-13,92,1229,PG-13,Comedy,,1994,1,0,0,0,0,1,0,0,0,0,0
Airplane II: The Sequel,12/10/1982,,,Paramount,27150534,80524500,Sci-Fi Comedy,0,0,,PG,84,1300,PG,Fantasy_Scifi,,1982,0,0,1,0,0,0,0,1,0,0,0
Airplane!,6/27/1980,3500000,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']",Paramount,83453539,277040900,Comedy,0,0,"['Jim Abrahams', 'Hunt Lowry', 'David Zucker', 'Jerry Zucker']",PG,88,,PG,Comedy,,1980,1,0,0,0,0,0,0,1,0,0,0
Airport,3/5/1970,10000000,"['George Seaton', 'Henry Hathaway']",Universal,100489151,590373800,Drama / Thriller,0,0,['Ross Hunter'],G,137,,G,Drama,,1970,0,0,0,0,1,0,0,0,1,0,0
Airport '77,3/11/1977,,['Jerry Jameson'],Universal,,,Drama / Thriller,0,0,['William Frye'],PG,114,,PG,Drama,,1977,0,0,0,0,1,0,0,1,0,0,0
Airport 1975,10/18/1974,,['Jack Smight'],Universal,,,Drama / Thriller,0,0,['William Frye'],PG,107,,PG,Drama,,1974,0,1,0,0,0,0,0,1,0,0,0
AKA,12/12/2003,,,Empire,49988,72400,Unknown,0,0,,R,120,3,R,None,160,2003,0,0,1,0,0,0,1,0,0,0,0
Akeelah and the Bee,4/28/2006,8000000,,Lionsgate,18848430,25697200,Drama,0,0,,PG,112,2195,PG,Drama,83,2006,0,0,0,0,1,0,0,1,0,0,0
Akira,12/25/1989,,,Streamline,553171,927700,Animation,0,0,,R,124,2,R,Animation,,1989,0,0,1,0,0,0,1,0,0,0,0
Akira,3/30/2001,,,Pioneer,553171,179900,Animation,0,0,,R,124,1,R,Animation,,2001,0,0,0,0,1,0,1,0,0,0,0
Akira Kurosawa's Dreams,8/24/1990,,,Warner Bros.,1963207,4144500,Foreign,0,0,,PG,120,,PG,Foreign,,1990,1,0,0,0,0,0,0,1,0,0,0
Alabama Moon,3/18/2011,,,Unknown,47305,53700,Family Adventure,0,0,,PG,98,7,PG,Family,48,2011,0,0,0,0,1,0,0,1,0,0,0
Aladdin,11/13/1992,28000000,,Buena Vista,217350219,468310200,Animation,5,2,,G,90,2331,G,Animation,,1992,0,0,1,0,0,0,0,0,1,0,0
The Alamo,4/9/2004,107000000,['John Lee Hancock'],Buena Vista,22414961,32232800,War,0,0,"['Ron Howard', 'Mark Johnson']",PG-13,137,2609,PG-13,War,104,2004,0,0,0,0,1,1,0,0,0,0,0
Alan Partridge: The Movie,4/4/2014,,,Magnolia,153426,164500,Comedy,0,0,,R,90,22,R,Comedy,55,2014,0,0,0,0,1,0,1,0,0,0,0
An Alan Smithee Film: Burn Hollywood Burn,2/27/1998,,,Buena Vista,45779,87200,Comedy,0,0,,R,86,19,R,Comedy,13,1998,0,0,0,1,0,0,1,0,0,0,0
The Alarmist,10/16/1998,,,Lions Gate,59864,114000,Unknown,0,0,['Beau Flynn'],R,92,11,R,None,-270,1998,0,1,0,0,0,0,1,0,0,0,0
Alaska,8/14/1996,,,Sony / Columbia,11829959,23900800,Family Adventure,0,0,,PG,109,1566,PG,Family,,1996,1,0,0,0,0,0,0,1,0,0,0
Albert Nobbs,1/27/2012,,,Roadside Attractions,3014696,3396400,Drama,3,0,['Glenn Close'],R,114,245,R,Drama,111,2012,0,0,0,1,0,0,1,0,0,0,0
