title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG,director_prev_nom,director_prev_win,BAFTA,Golden Globe,Guild,rt_critic_score,rt_audience_score,encoded_director,encoded_genre,encoded_producer
"History of the World, Part I",6/12/1981,0.0,Mel Brooks,Fox,31672907.0,101740700.0,Comedy,0,0.0,,R,92.0,,R,Comedy,,1981.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,352,1,4
A History of Violence,9/23/2005,32000000.0,0,New Line,31504633.0,43879700.0,Crime Drama,2,0.0,"['Chris Bender', 'J.C. Spink']",R,96.0,1348.0,R,Crime_Thriller,139.0,2005.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,87.0,76.0,1,3,398
The Hit,3/8/1985,0.0,Stephen Frears,Island Alive,876775.0,2205500.0,Crime Drama,0,0.0,,R,100.0,,R,Crime_Thriller,,1985.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,499,3,4
Hit and Run,8/22/2012,2000000.0,"David Palmer, Dax Shepard",Open Road Films,13749300.0,15120800.0,Action Comedy,0,0.0,['Andrew Panay'],R,100.0,2870.0,R,Act_Adven,50.0,2012.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,891,0,501
Hit List,3/3/1989,0.0,0,New Line,4564.0,10300.0,Unknown,0,0.0,,R,87.0,3.0,R,None,6.0,1989.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Hit Me,10/2/1998,0.0,0,Castle Hill,12500.0,23800.0,Unknown,0,0.0,,R,125.0,3.0,R,None,13.0,1998.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Hit So Hard,4/13/2012,0.0,0,Variance Films,34025.0,37600.0,Documentary,0,0.0,,R,103.0,4.0,R,Documentary,,2012.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,10,4
Hitch,2/11/2005,70000000.0,Andy Tennant,Sony / Columbia,179495555.0,250061700.0,Romantic Comedy,0,0.0,"['James Lassiter', 'Will Smith', 'Michael Tadross']",PG-13,115.0,3575.0,PG-13,Romance,160.0,2005.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,142,5,948
Hitchcock,11/23/2012,0.0,Sacha Gervasi,Fox Searchlight,6008677.0,6687100.0,Drama,1,0.0,"['Alan Barnette', 'Ali Bell', 'Joe Medjuck', 'Tom Pollock']",PG-13,98.0,561.0,PG-13,Drama,111.0,2012.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,62.0,60.0,892,6,949
Hitchcock/Truffaut,12/2/2015,0.0,Kent Jones,Cohen Media Group,260430.0,268200.0,Documentary,0,0.0,,PG-13,80.0,23.0,PG-13,Documentary,85.0,2015.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,893,10,4
The Hitcher,2/21/1986,0.0,0,TriStar,5844868.0,14068600.0,Unknown,0,0.0,,R,98.0,794.0,R,None,,1986.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
The Hitcher,1/19/2007,0.0,0,Rogue Pictures,16472961.0,21381300.0,Horror Thriller,0,0.0,"['Michael Bay', 'Andrew Form', 'Brad Fuller']",R,84.0,2836.0,R,Horror,58.0,2007.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,797
The Hitchhiker's Guide to the Galaxy,4/29/2005,50000000.0,Garth Jennings,Buena Vista,51085416.0,71168900.0,Sci-Fi Comedy,0,0.0,"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman']",PG,103.0,3133.0,PG,Fantasy_Scifi,83.0,2005.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,894,2,526
Hitman,11/21/2007,0.0,0,Fox,39687694.0,51481100.0,Action,0,0.0,['Vin Diesel'],R,100.0,2468.0,R,Act_Adven,113.0,2007.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,950
