title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG,director_prev_nom,director_prev_win,BAFTA,Golden Globe,Guild,rt_critic_score,rt_audience_score,encoded_director,encoded_genre,encoded_producer
The A-Team,6/11/2010,110000000.0,Joe Carnahan,Fox,77222099.0,86741300.0,Action,0,0.0,"['Ridley Scott', 'Tony Scott', 'Alex Young']",PG-13,117.0,3544.0,PG-13,Act_Adven,97.0,2010.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
A.C.O.D.,10/4/2013,0.0,0,The Film Arcade,175705.0,187900.0,Comedy,0,0.0,['Teddy Schwarzman'],PG-13,88.0,42.0,PG-13,Comedy,34.0,2013.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,1
A.I. Artificial Intelligence,6/29/2001,100000000.0,Steven Spielberg,Warner Bros.,78616689.0,124036600.0,Sci-Fi,2,0.0,"['Kathleen Kennedy', 'Steven Spielberg']",PG-13,145.0,3242.0,PG-13,Fantasy_Scifi,,2001.0,1,0,0,0,0,1,0,0,0,0,0,5,2,0,2,0,73.0,64.0,2,2,2
Abandon,10/18/2002,25000000.0,Stephen Gaghan,Paramount,10727683.0,16488500.0,Thriller,0,0.0,"['Gary Barber', 'Roger Birnbaum', 'Lynda Obst', 'Richard Vane', 'Edward Zwick']",PG-13,99.0,2347.0,PG-13,Crime_Thriller,62.0,2002.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,3,3
The Abandoned,2/23/2007,0.0,0,After Dark Films,1331137.0,1727800.0,Horror,0,0.0,,R,106.0,1000.0,R,Horror,13.0,2007.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
Abduction,9/23/2011,35000000.0,John Singleton,Lionsgate,28087155.0,31589200.0,Action,0,0.0,"['Patrick Crowley', 'Doug Davison', 'Roy Lee']",PG-13,106.0,3118.0,PG-13,Act_Adven,83.0,2011.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,4,0,5
Abominable,4/14/2006,0.0,0,Freestyle Releasing,1810.0,2500.0,Horror,0,0.0,,R,94.0,1.0,R,Horror,2.0,2006.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
About a Boy,5/17/2002,30000000.0,"Chris Weitz, Paul Weitz",Universal,41385278.0,63609400.0,Comedy / Drama,1,0.0,"['Tim Bevan', 'Eric Fellner', 'Nick Hornby']",PG-13,100.0,1756.0,PG-13,Comedy,62.0,2002.0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,94.0,54.0,5,1,6
About Adam,5/11/2001,0.0,0,Miramax,159668.0,251900.0,Romantic Comedy,0,0.0,,R,97.0,11.0,R,Romance,20.0,2001.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,5,4
About Alex,8/8/2014,0.0,0,Screen Media,0.0,0.0,Comedy,0,0.0,,R,96.0,,R,Comedy,,2014.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
About Cherry,9/21/2012,0.0,0,IFC,3003.0,3400.0,Drama,0,0.0,,R,102.0,3.0,R,Drama,6.0,2012.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
About Last Night,2/14/2014,12500000.0,Steve Pink,Sony / Screen Gems,48637684.0,54550100.0,Romantic Comedy,0,0.0,"['Will Gluck', 'Will Packer']",R,100.0,2253.0,R,Romance,72.0,2014.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,6,5,7
About Last Night...,7/4/1986,0.0,Edward Zwick,TriStar,38702310.0,93156800.0,Romantic Comedy,0,0.0,,R,113.0,887.0,R,Romance,,1986.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,7,5,4
About Schmidt,12/13/2002,30000000.0,Alexander Payne,New Line,65016287.0,96381400.0,Comedy / Drama,2,0.0,['Bill Badalato'],R,124.0,1240.0,R,Comedy,167.0,2002.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6,2,85.0,74.0,8,1,8
About Time,11/1/2013,0.0,Richard Curtis,Universal,15322921.0,16387300.0,Comedy,0,0.0,"['Tim Bevan', 'Eric Fellner']",R,123.0,1280.0,R,Comedy,55.0,2013.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,9,1,9
Above the Law,4/8/1988,0.0,Andrew Davis,Warner Bros.,18869631.0,40999000.0,Action,0,0.0,,R,99.0,868.0,R,Act_Adven,,1988.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,10,0,4
Above the Rim,3/25/1994,0.0,0,New Line,16192320.0,34592700.0,Sports Drama,0,0.0,,R,98.0,891.0,R,Sports,,1994.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,7,4
Abracadabra,9/15/2017,0.0,0,Sony / Columbia,3470.0,3500.0,Comedy / Drama,0,0.0,,R,96.0,10.0,R,Comedy,6.0,2017.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Abraham Lincoln: Vampire Hunter,6/22/2012,69000000.0,Timur Bekmambetov,Fox,37519139.0,41958000.0,Horror Thriller,0,0.0,"['Timur Bekmambetov', 'Tim Burton', 'Seth Grahame-Smith', 'Simon Kinberg']",R,105.0,3109.0,R,Horror,90.0,2012.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,11,4,10
Absence of Malice,11/20/1981,0.0,Sydney Pollack,Columbia,40716963.0,124355600.0,Drama / Thriller,3,0.0,['Sydney Pollack'],PG,116.0,994.0,PG,Drama,,1981.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,86.0,61.0,12,6,11
Absolute Beginners,4/18/1986,0.0,0,Orion Pictures,930211.0,2239000.0,Musical,0,0.0,,PG-13,108.0,4.0,PG-13,Musical,,1986.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,8,4
Absolute Power,2/14/1997,0.0,Clint Eastwood,Sony / Columbia,50068310.0,97409600.0,Crime Thriller,0,0.0,['Clint Eastwood'],R,121.0,2568.0,R,Crime_Thriller,,1997.0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,13,3,12
Absolutely Anything,5/12/2017,0.0,0,Atlas Distribution,0.0,0.0,Sci-Fi Comedy,0,0.0,,R,85.0,,R,Fantasy_Scifi,,2017.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,2,4
Absolutely Fabulous: The Movie,7/22/2016,0.0,Mandie Fletcher,Fox Searchlight,4772155.0,5007700.0,Comedy,0,0.0,,R,90.0,355.0,R,Comedy,69.0,2016.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,14,1,4
The Abyss,8/11/1989,0.0,James Cameron,Fox,54461047.0,121966100.0,Sci-Fi Adventure,3,1.0,['Gale Anne Hurd'],PG-13,146.0,1538.0,PG-13,Fantasy_Scifi,,1989.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15,2,13
The Abyss Special Edition,2/26/1993,0.0,0,Fox,54461047.0,515000.0,Sci-Fi Adventure,0,0.0,,R,171.0,2.0,R,Fantasy_Scifi,,1993.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,2,4
Accepted,8/18/2006,23000000.0,Steve Pink,Universal,36323505.0,49522000.0,Comedy,0,0.0,"['Michael Bostick', 'Tom Shadyac']",PG-13,90.0,2917.0,PG-13,Comedy,62.0,2006.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6,1,14
The Accidental Husband  - Box Office Mojo,,0.0,Griffin Dunne,Yari Film Group,0.0,0.0,Romantic Comedy,0,0.0,['Jason Blum'],PG-13,90.0,,PG-13,Romance,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,16,5,15
The Accidental Tourist,12/23/1988,0.0,Lawrence Kasdan,Warner Bros.,32632093.0,73388600.0,Romance,4,1.0,"['Michael Grillo', 'Lawrence Kasdan']",PG,121.0,954.0,PG,Romance,104.0,1988.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,79.0,60.0,17,5,16
The Accountant,10/14/2016,44000000.0,Gavin OConnor,Warner Bros.,86260045.0,87630900.0,Drama,0,0.0,,R,128.0,3402.0,R,Drama,90.0,2016.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,18,6,4
The Accused,10/14/1988,0.0,Jonathan Kaplan,Paramount,32078318.0,69698100.0,Drama,1,1.0,['Sherry Lansing'],R,119.0,930.0,R,Drama,,1988.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,95.0,79.0,19,6,17
Ace Ventura: Pet Detective,2/4/1994,15000000.0,Tom Shadyac,Warner Bros.,72217396.0,154282600.0,Comedy,0,0.0,"['Gary Barber', 'James G. Robinson']",PG-13,87.0,1963.0,PG-13,Comedy,,1994.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20,1,18
Ace Ventura: When Nature Calls,11/10/1995,0.0,Steve Oedekerk,Warner Bros.,108385533.0,222343500.0,Comedy,0,0.0,"['Gary Barber', 'James G. Robinson']",PG-13,94.0,2705.0,PG-13,Comedy,,1995.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21,1,18
Aces: Iron Eagle III,6/12/1992,0.0,0,New Line,2517600.0,5417400.0,Action,0,0.0,,R,98.0,1051.0,R,Act_Adven,,1992.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,4
Across the Sea of Time,10/20/1995,0.0,0,Sony Classics,16015639.0,23041400.0,IMAX,0,0.0,,G,51.0,2.0,G,Other,3142.0,1995.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,9,4
Across the Universe,9/14/2007,0.0,Julie Taymor,Sony (Revolution),24343673.0,31597200.0,Musical,1,0.0,,PG-13,131.0,964.0,PG-13,Musical,86.0,2007.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,53.0,82.0,22,8,4
Act of Valor,2/24/2012,12000000.0,"Mike McCoy, Scott Waugh",Relativity,70012847.0,78850500.0,Thriller,0,0.0,"['Jason Clark', 'Ryan Kavanaugh', 'Mike McCoy', 'Tucker Tooley', 'Scott Waugh']",R,111.0,3053.0,R,Crime_Thriller,104.0,2012.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,23,3,19
Action Jackson,2/12/1988,0.0,Craig R. Baxley,Lorimar,20256975.0,44013300.0,Action,0,0.0,['Joel Silver'],R,95.0,1249.0,R,Act_Adven,,1988.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,24,0,20
Adam,7/29/2009,0.0,0,Fox Searchlight,2277396.0,2723200.0,Comedy / Drama,0,0.0,,PG-13,95.0,177.0,PG-13,Comedy,109.0,2009.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Adam & Steve,3/31/2006,0.0,0,TLA Releasing,309404.0,421800.0,Romantic Comedy,0,0.0,,R,99.0,17.0,R,Romance,111.0,2006.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,5,4
Adaptation.,12/6/2002,19000000.0,Spike Jonze,Sony / Columbia,22498520.0,33489200.0,Comedy,4,1.0,,R,114.0,672.0,R,Comedy,167.0,2002.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,5,3,91.0,85.0,25,1,4
The Addams Family,11/22/1991,30000000.0,Barry Sonnenfeld,Paramount,113502426.0,241702800.0,Horror Comedy,2,0.0,['Scott Rudin'],PG-13,102.0,2411.0,PG-13,Horror,,1991.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,60.0,66.0,26,4,21
Addams Family Values,11/19/1993,0.0,Barry Sonnenfeld,Paramount,48919043.0,105417800.0,Horror Comedy,0,0.0,['Scott Rudin'],PG-13,94.0,2577.0,PG-13,Horror,,1993.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,78.0,62.0,26,4,21
Adderall Diaries,4/15/2016,0.0,Pamela Romanowsky,A24,13191.0,13500.0,Drama / Thriller,0,0.0,,R,105.0,31.0,R,Drama,,2016.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,27,6,4
Addicted,10/10/2014,0.0,Bille Woodruff,Lionsgate,17390770.0,18710800.0,Drama,0,0.0,['Paul Hall'],R,105.0,1037.0,R,Drama,55.0,2014.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,28,6,22
Addicted to Love,5/23/1997,0.0,Griffin Dunne,Warner Bros.,34673095.0,67457700.0,Romantic Comedy,0,0.0,['Jeffrey Silver'],R,99.0,2021.0,R,Romance,,1997.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,16,5,23
Addiction Incorporated,12/14/2011,0.0,0,Variance Films,40106.0,45300.0,Documentary,0,0.0,,PG,100.0,5.0,PG,Documentary,113.0,2011.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,10,4
The Adjuster,5/29/1992,0.0,0,Orion Classics,396573.0,853400.0,Unknown,0,0.0,,R,102.0,18.0,R,None,104.0,1992.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
The Adjustment Bureau,3/4/2011,50200000.0,George Nolfi,Universal,62495645.0,71003300.0,Sci-Fi Thriller,0,0.0,"['Chris Moore', 'George Nolfi']",PG-13,99.0,2847.0,PG-13,Fantasy_Scifi,83.0,2011.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29,2,24
Admission,3/22/2013,13000000.0,Paul Weitz,Focus Features,18007317.0,20252600.0,Comedy / Drama,0,0.0,['Paul Weitz'],PG-13,117.0,2161.0,PG-13,Comedy,76.0,2013.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30,1,25
Adoration,5/8/2009,0.0,Atom Egoyan,Sony Classics,294244.0,352100.0,Drama,0,0.0,,R,100.0,20.0,R,Drama,160.0,2009.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,31,6,4
Adore,9/6/2013,0.0,0,Exclusive Media,318982.0,362900.0,Drama,0,0.0,,R,100.0,57.0,R,Drama,27.0,2013.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
Adrift in Manhattan,9/21/2007,0.0,0,Screen Media,2099.0,2700.0,Drama,0,0.0,,R,91.0,1.0,R,Drama,2.0,2007.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
Adult Beginners,4/24/2015,0.0,0,Radius-TWC,108808.0,113100.0,Comedy / Drama,0,0.0,,R,90.0,54.0,R,Comedy,41.0,2015.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Adult World,2/14/2014,0.0,0,IFC,25368.0,28500.0,Comedy,0,0.0,['Justin Nappi'],R,93.0,11.0,R,Comedy,27.0,2014.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,26
Adventureland,4/3/2009,0.0,Greg Mottola,Miramax,16044025.0,19205500.0,Comedy,0,0.0,"['Ted Hope', 'Sidney Kimmel']",R,106.0,1876.0,R,Comedy,55.0,2009.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,32,1,27
The Adventurer: The Curse of the Midas Box,1/10/2014,0.0,0,The Film Arcade,6399.0,7200.0,Family Adventure,0,0.0,,PG,98.0,82.0,PG,Family,6.0,2014.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,12,4
Adventures in Babysitting,7/3/1987,0.0,Chris Columbus,Buena Vista,34368475.0,78493700.0,Comedy,0,0.0,['Lynda Obst'],PG-13,99.0,1148.0,PG-13,Comedy,,1987.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,33,1,28
Adventures of American Rabbit,1/17/1986,0.0,0,Atlantic,1268443.0,3053200.0,Unknown,0,0.0,,G,82.0,242.0,G,None,,1986.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,11,4
The Adventures of Baron Munchausen,3/10/1989,46630000.0,Terry Gilliam,Columbia,8083123.0,18181900.0,Unknown,4,0.0,,PG,125.0,120.0,PG,None,,1989.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,34,11,4
The Adventures of Buckaroo Banzai,8/10/1984,0.0,0,Fox,6254148.0,16621900.0,Unknown,0,0.0,,PG,103.0,236.0,PG,None,,1984.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
The Adventures of Elmo in Grouchland,10/1/1999,26000000.0,0,Sony / Columbia,11683047.0,20537300.0,Family,0,0.0,['Stephanie Allain'],G,77.0,1210.0,G,Family,,1999.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,12,29
The Adventures of Ford Fairlane,7/13/1990,0.0,Renny Harlin,Fox,21413502.0,45206300.0,Action Comedy,0,0.0,['Joel Silver'],R,104.0,1263.0,R,Act_Adven,,1990.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,35,0,20
The Adventures of Huck Finn,4/2/1993,0.0,Stephen Sommers,Buena Vista,24103594.0,51991600.0,Family Adventure,0,0.0,['Laurence Mark'],PG,108.0,1803.0,PG,Family,,1993.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,36,12,30
The Adventures of Mark Twain,1/17/1986,0.0,0,Atlantic,849915.0,2045700.0,Animation,0,0.0,,G,86.0,221.0,G,Animation,,1986.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,13,4
The Adventures of Milo and Otis,8/25/1989,0.0,0,Columbia,13299749.0,6631600.0,Unknown,0,0.0,,G,76.0,239.0,G,None,,1989.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Adventures of Milo and Otis,6/15/1990,0.0,0,Columbia,13299749.0,21853200.0,Family Adventure,0,0.0,,G,75.0,915.0,G,Family,,1990.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,12,4
The Adventures of Pinocchio,7/26/1996,0.0,Steven Barron,New Line,15094530.0,30496400.0,Family Adventure,0,0.0,['Samuel Hadida'],G,94.0,1879.0,G,Family,,1996.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,37,12,31
The Adventures of Pluto Nash,8/16/2002,100000000.0,Ron Underwood,Warner Bros.,4420080.0,6793700.0,Sci-Fi Comedy,0,0.0,,PG-13,95.0,2320.0,PG-13,Fantasy_Scifi,48.0,2002.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,38,2,4
Adventures of Power,10/9/2009,0.0,0,Variance Films,17419.0,20400.0,Comedy,0,0.0,,PG-13,89.0,3.0,PG-13,Comedy,55.0,2009.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
"The Adventures of Priscilla, Queen of the Desert",8/10/1994,0.0,Stephan Elliot,Gramercy,11220670.0,23971400.0,Comedy,1,1.0,,R,102.0,192.0,R,Comedy,,1994.0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,93.0,88.0,39,1,4
The Adventures of Rocky & Bullwinkle,6/30/2000,76000000.0,0,Universal,26005820.0,43085700.0,Family Comedy,0,0.0,['Tiffany Ward'],PG,92.0,2482.0,PG,Family,97.0,2000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,12,32
The Adventures of Sebastian Cole,8/6/1999,0.0,Tod Williams,Paramount Classics,100841.0,177300.0,Comedy / Drama,0,0.0,,R,99.0,7.0,R,Comedy,76.0,1999.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,40,1,4
The Adventures of Sharkboy and Lavagirl in 3D,6/10/2005,0.0,Robert Rodriguez,Dimension Films,39177684.0,54579800.0,Family Adventure,0,0.0,,PG,94.0,2655.0,PG,Family,132.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,41,12,4
The Adventures of Tintin,12/21/2011,0.0,Steven Spielberg,Paramount,77591831.0,87953800.0,Animation,1,0.0,"['Peter Jackson', 'Kathleen Kennedy', 'Steven Spielberg']",PG,101.0,3087.0,PG,Animation,92.0,2011.0,0,0,1,0,0,0,0,1,0,0,0,6,2,0,0,0,0.0,0.0,2,13,33
The Advocate,8/24/1994,0.0,0,Miramax,602329.0,1286800.0,Period Drama,0,0.0,,R,102.0,17.0,R,Historical,78.0,1994.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,14,4
Aeon Flux,12/2/2005,62000000.0,Karyn Kusama,Paramount,25874337.0,36011700.0,Sci-Fi Action,0,0.0,"['Gale Anne Hurd', 'Gary Lucchesi', 'Tom Rosenberg']",PG-13,95.0,2608.0,PG-13,Fantasy_Scifi,69.0,2005.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42,2,34
An Affair of Love,8/11/2000,0.0,0,Fine Line,359050.0,594900.0,Unknown,0,0.0,,R,104.15257614574438,19.0,R,None,48.0,2000.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
The Affair of the Necklace,11/30/2001,0.0,Charles Shyer,Warner Bros.,471210.0,743400.0,Unknown,1,0.0,"['Broderick Johnson', 'Andrew A. Kosove', 'Charles Shyer']",R,118.0,40.0,R,None,,2001.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,43,11,35
Afflicted,4/4/2014,0.0,0,CBS Films,121179.0,129900.0,Horror,0,0.0,,R,85.0,44.0,R,Horror,9.0,2014.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
Affliction,12/30/1998,6000000.0,Paul Schrader,Lions Gate,6330054.0,11131200.0,Drama,2,1.0,,R,115.0,335.0,R,Drama,,1998.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,87.0,72.0,44,6,4
Afraid of the Dark,7/24/1992,0.0,0,Fine Line,53932.0,116100.0,Thriller,0,0.0,,R,92.0,,R,Crime_Thriller,34.0,1992.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,4
African Cats,4/22/2011,0.0,0,Buena Vista,15428747.0,17094100.0,Documentary,0,0.0,['Don Hahn'],G,89.0,1224.0,G,Documentary,83.0,2011.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,10,36
After,9/9/2011,0.0,0,Unknown,24544.0,27600.0,Drama,0,0.0,,R,99.0,1.0,R,Drama,13.0,2011.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
After Dark's Horror Fest: 8 Films to Die For,11/17/2006,0.0,0,Freestyle Releasing,2575000.0,3510700.0,Horror,0,0.0,,R,94.0,488.0,R,Horror,,2006.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
After Dark's Horrorfest 2,11/9/2007,0.0,0,After Dark Films,874635.0,1135200.0,Horror,0,0.0,,R,90.0,323.0,R,Horror,9.0,2007.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
"After Dark, My Sweet",8/24/1990,0.0,James Foley,Avenue Pict.,2678414.0,5654400.0,Romantic Thriller,0,0.0,,R,114.0,153.0,R,Romance,76.0,1990.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,45,5,4
After Earth,5/31/2013,130000000.0,M. Night Shyamalan,Sony / Columbia,60522097.0,64494300.0,Sci-Fi,0,0.0,"['Jada Pinkett-Smith', 'M. Night Shyamalan', 'Will Smith']",PG-13,100.0,3401.0,PG-13,Fantasy_Scifi,79.0,2013.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,46,2,37
After Hours,9/13/1985,0.0,Martin Scorsese,Warner Bros.,10609321.0,26687700.0,Unknown,0,0.0,,R,96.0,503.0,R,None,,1985.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,90.0,87.0,47,11,4
After Midnight,11/3/1989,0.0,0,MGM,76325.0,171700.0,Unknown,0,0.0,,R,93.0,224.0,R,None,6.0,1989.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
After School,9/23/1988,0.0,0,Moviestore Ent.,3967.0,8600.0,Unknown,0,0.0,,R,89.0,,R,None,6.0,1988.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
After the Sunset,11/12/2004,60000000.0,Brett Ratner,New Line,28331233.0,40727800.0,Romantic Thriller,0,0.0,"['Beau Flynn', 'Jay Stern', 'Tripp Vinson']",PG-13,98.0,2819.0,PG-13,Romance,83.0,2004.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,48,5,38
After Tiller,9/20/2013,0.0,0,Oscilloscope Pictures,72125.0,78400.0,Documentary,0,0.0,,PG-13,85.0,6.0,PG-13,Documentary,55.0,2013.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,10,4
After.Life,4/9/2010,0.0,0,Anchor Bay Films,108595.0,122000.0,Horror Thriller,0,0.0,,R,97.0,41.0,R,Horror,27.0,2010.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
Afterglow,12/26/1997,0.0,0,Sony Classics,2465960.0,4695300.0,Romance,1,0.0,,R,113.0,353.0,R,Romance,146.0,1997.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74.0,45.0,1,5,4
Afternoon Delight,8/30/2013,0.0,0,The Film Arcade,174496.0,198700.0,Comedy / Drama,0,0.0,,R,95.0,39.0,R,Comedy,23.0,2013.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Aftershock,5/10/2013,0.0,0,Radius-TWC,58510.0,62300.0,Horror,0,0.0,,R,91.0,110.0,R,Horror,6.0,2013.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
Against All Odds,3/2/1984,0.0,Taylor Hackford,Columbia,21689062.0,57643800.0,Romance,1,0.0,['Taylor Hackford'],R,122.0,979.0,R,Romance,,1984.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,49,5,39
Against the Ropes,2/20/2004,0.0,0,Paramount,5884190.0,8461500.0,Sports Drama,0,0.0,,PG-13,115.0,1601.0,PG-13,Sports,48.0,2004.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,7,4
